2025-01-12 05:01:10 - System Idle Process (PID: 0) - CPU: 1031.3%, MEM: 0.00010386427017173957%
2025-01-12 05:02:10 - System Idle Process (PID: 0) - CPU: 1056.9%, MEM: 0.00010386427017173957%
2025-01-12 05:03:11 - System Idle Process (PID: 0) - CPU: 1093.6%, MEM: 0.00010386427017173957%
2025-01-12 05:04:12 - System Idle Process (PID: 0) - CPU: 1080.8%, MEM: 0.00010386427017173957%
2025-01-12 05:05:13 - System Idle Process (PID: 0) - CPU: 1071.1%, MEM: 0.00010386427017173957%
2025-01-12 05:06:13 - System Idle Process (PID: 0) - CPU: 1091.1%, MEM: 0.00010386427017173957%
2025-01-12 05:07:14 - System Idle Process (PID: 0) - CPU: 1096.1%, MEM: 0.00010386427017173957%
2025-01-12 05:08:15 - System Idle Process (PID: 0) - CPU: 1036.1%, MEM: 0.00010386427017173957%
2025-01-12 05:09:15 - System Idle Process (PID: 0) - CPU: 1081.4%, MEM: 0.00010386427017173957%
2025-01-12 05:10:16 - System Idle Process (PID: 0) - CPU: 1082.0%, MEM: 0.00010386427017173957%
2025-01-12 05:11:17 - System Idle Process (PID: 0) - CPU: 1090.1%, MEM: 0.00010386427017173957%
2025-01-12 05:12:17 - System Idle Process (PID: 0) - CPU: 1091.4%, MEM: 0.00010386427017173957%
2025-01-12 05:13:18 - System Idle Process (PID: 0) - CPU: 1090.3%, MEM: 0.00010386427017173957%
2025-01-12 05:14:19 - System Idle Process (PID: 0) - CPU: 1075.8%, MEM: 0.00010386427017173957%
2025-01-12 05:15:20 - System Idle Process (PID: 0) - CPU: 1085.0%, MEM: 0.00010386427017173957%
2025-01-12 05:16:20 - System Idle Process (PID: 0) - CPU: 1091.6%, MEM: 0.00010386427017173957%
2025-01-12 05:17:21 - System Idle Process (PID: 0) - CPU: 1094.3%, MEM: 0.00010386427017173957%
2025-01-12 05:18:22 - System Idle Process (PID: 0) - CPU: 1090.0%, MEM: 0.00010386427017173957%
2025-01-12 05:19:22 - System Idle Process (PID: 0) - CPU: 1073.9%, MEM: 0.00010386427017173957%
2025-01-12 05:20:23 - System Idle Process (PID: 0) - CPU: 1089.0%, MEM: 0.00010386427017173957%
2025-01-12 05:21:24 - System Idle Process (PID: 0) - CPU: 1087.1%, MEM: 0.00010386427017173957%
2025-01-12 05:22:24 - System Idle Process (PID: 0) - CPU: 1099.2%, MEM: 0.00010386427017173957%
2025-01-12 05:23:25 - System Idle Process (PID: 0) - CPU: 1064.1%, MEM: 0.00010386427017173957%
2025-01-12 05:24:26 - System Idle Process (PID: 0) - CPU: 1094.5%, MEM: 0.00010386427017173957%
2025-01-12 05:25:26 - System Idle Process (PID: 0) - CPU: 1083.1%, MEM: 0.00010386427017173957%
